iter	Passed	Remaining
0	2	2108
1	3	1756
2	4	1638
3	8	2062
4	9	1955
5	11	1964
6	14	1987
7	15	1973
8	17	1892
9	18	1822
10	20	1847
11	22	1892
12	24	1868
13	26	1838
14	27	1828
15	30	1852
16	33	1910
17	34	1896
18	36	1867
19	37	1842
20	39	1830
21	40	1808
22	43	1863
23	45	1867
24	47	1851
25	49	1836
26	50	1803
27	51	1797
28	53	1806
29	55	1798
30	57	1803
31	59	1811
32	62	1839
33	64	1833
34	65	1813
35	67	1796
36	68	1778
37	69	1760
38	71	1756
39	73	1770
40	75	1757
41	76	1745
42	77	1732
43	79	1718
44	80	1705
45	81	1698
46	84	1705
47	87	1729
48	88	1724
49	92	1750
50	93	1745
51	95	1733
52	96	1724
53	97	1714
54	99	1704
55	100	1693
56	102	1703
57	105	1711
58	106	1702
59	108	1700
60	109	1693
61	111	1692
62	113	1687
63	115	1688
64	117	1690
65	119	1685
66	120	1682
67	122	1673
68	125	1687
69	126	1683
70	129	1689
71	131	1701
72	134	1702
73	135	1696
74	136	1688
75	138	1680
76	139	1673
77	141	1675
78	143	1676
79	146	1680
80	148	1679
81	149	1673
82	150	1666
83	152	1662
84	153	1656
85	156	1662
86	158	1661
87	160	1665
88	162	1659
89	163	1651
90	164	1642
91	165	1634
92	167	1629
93	168	1627
94	171	1630
95	172	1622
96	173	1614
97	174	1610
98	177	1613
99	179	1611
100	180	1605
101	181	1598
102	182	1591
103	183	1585
104	185	1578
105	186	1571
106	187	1565
107	189	1566
108	192	1573
109	194	1570
110	195	1566
111	196	1561
112	199	1563
113	202	1570
114	203	1564
115	205	1569
116	207	1565
117	208	1559
118	209	1553
119	213	1568
120	215	1563
121	216	1556
122	217	1549
123	218	1544
124	220	1543
125	222	1540
126	223	1535
127	224	1532
128	226	1530
129	228	1530
130	230	1528
131	231	1522
132	232	1516
133	234	1513
134	236	1512
135	237	1511
136	239	1505
137	240	1504
138	243	1505
139	244	1500
140	245	1495
141	246	1489
142	247	1484
143	249	1481
144	251	1482
145	252	1477
146	253	1472
147	255	1468
148	257	1468
149	258	1465
150	259	1460
151	261	1456
152	262	1451
153	263	1445
154	263	1437
155	266	1439
156	267	1435
157	268	1431
158	269	1427
159	271	1422
160	273	1425
161	275	1423
162	276	1419
163	277	1414
164	279	1413
165	280	1411
166	282	1407
167	282	1399
168	283	1394
169	285	1393
170	287	1391
171	288	1389
172	289	1385
173	290	1380
174	291	1376
175	293	1374
176	295	1372
177	296	1370
178	298	1367
179	299	1364
180	300	1361
181	302	1361
182	306	1367
183	310	1377
184	313	1378
185	315	1379
186	316	1375
187	317	1371
188	319	1370
189	321	1371
190	322	1367
191	324	1365
192	326	1363
193	327	1360
194	328	1356
195	330	1355
196	332	1354
197	333	1350
198	334	1347
199	335	1343
200	337	1341
201	338	1337
202	341	1339
203	342	1335
204	343	1332
205	344	1329
206	346	1325
207	347	1322
208	348	1318
209	349	1314
210	350	1311
211	351	1307
212	352	1304
213	354	1301
214	356	1299
215	357	1298
216	358	1294
217	360	1292
218	362	1290
219	363	1289
220	364	1286
221	365	1282
222	367	1278
223	368	1275
224	370	1275
225	372	1274
226	373	1271
227	375	1271
228	377	1269
229	379	1269
230	380	1268
231	382	1266
232	384	1266
233	387	1268
234	388	1265
235	390	1264
236	391	1261
237	393	1258
238	395	1258
239	397	1259
240	399	1258
241	401	1256
242	402	1255
243	404	1252
244	405	1250
245	408	1252
246	410	1250
247	411	1247
248	414	1248
249	415	1246
250	416	1243
251	418	1242
252	420	1242
253	422	1241
254	423	1238
255	425	1235
256	429	1242
257	432	1242
258	433	1240
259	435	1239
260	437	1237
261	438	1234
262	439	1231
263	440	1229
264	442	1228
265	445	1228
266	446	1225
267	448	1225
268	451	1227
269	453	1225
270	454	1222
271	456	1221
272	458	1220
273	460	1219
274	461	1217
275	463	1214
276	464	1213
277	466	1210
278	467	1207
279	468	1204
280	469	1202
281	472	1202
282	473	1199
283	474	1196
284	476	1194
285	477	1193
286	479	1191
287	480	1188
288	481	1185
289	483	1182
290	484	1179
291	486	1178
292	487	1176
293	489	1174
294	490	1172
295	492	1172
296	494	1171
297	496	1169
298	497	1166
299	498	1163
300	499	1160
301	501	1159
302	503	1157
303	504	1154
304	505	1152
305	507	1149
306	508	1147
307	509	1144
308	510	1141
309	511	1139
310	512	1136
311	514	1133
312	515	1132
313	518	1131
314	519	1129
315	520	1127
316	522	1125
317	523	1122
318	524	1120
319	525	1117
320	527	1115
321	528	1113
322	529	1110
323	531	1109
324	533	1107
325	534	1105
326	536	1103
327	537	1101
328	538	1099
329	540	1097
330	541	1095
331	543	1092
332	544	1090
333	547	1091
334	548	1088
335	549	1086
336	551	1084
337	552	1082
338	554	1080
339	555	1078
340	556	1075
341	558	1074
342	561	1074
343	562	1072
344	563	1070
345	565	1068
346	566	1066
347	567	1063
348	569	1062
349	570	1060
350	572	1057
351	573	1056
352	576	1057
353	578	1055
354	581	1057
355	584	1058
356	586	1055
357	587	1053
358	588	1051
359	591	1051
360	592	1048
361	593	1046
362	596	1046
363	597	1044
364	599	1042
365	600	1040
366	602	1038
367	603	1036
368	605	1035
369	607	1033
370	608	1031
371	609	1029
372	611	1027
373	612	1025
374	613	1022
375	615	1020
376	616	1019
377	618	1016
378	620	1016
379	622	1014
380	624	1013
381	626	1013
382	627	1011
383	629	1010
384	631	1008
385	633	1007
386	635	1006
387	637	1005
388	638	1003
389	640	1001
390	641	998
391	642	996
392	643	994
393	645	992
394	646	990
395	647	988
396	649	986
397	651	985
398	653	983
399	654	982
400	656	980
401	657	977
402	658	975
403	660	973
404	662	972
405	667	976
406	669	975
407	670	973
408	672	971
409	673	969
410	674	967
411	676	964
412	677	962
413	678	960
414	680	958
415	681	956
416	682	954
417	684	952
418	685	950
419	686	948
420	687	945
421	689	944
422	690	941
423	691	939
424	692	937
425	694	936
426	696	934
427	697	931
428	698	929
429	699	927
430	701	925
431	702	923
432	703	921
433	704	918
434	705	916
435	706	914
436	707	912
437	710	911
438	711	909
439	712	907
440	714	905
441	715	902
442	716	900
443	717	898
444	718	896
445	719	893
446	720	891
447	722	889
448	723	887
449	725	886
450	726	884
451	727	882
452	729	880
453	730	878
454	731	875
455	732	873
456	733	871
457	734	869
458	735	867
459	737	865
460	738	863
461	740	861
462	741	859
463	742	857
464	743	855
465	745	853
466	746	851
467	747	849
468	748	847
469	749	845
470	751	843
471	752	841
472	754	840
473	755	838
474	756	836
475	758	834
476	759	832
477	761	831
478	764	832
479	767	831
480	770	831
481	771	829
482	773	828
483	776	827
484	778	826
485	779	824
486	780	822
487	782	820
488	784	819
489	786	818
490	787	816
491	788	814
492	790	812
493	793	812
494	794	810
495	795	808
496	797	806
497	799	806
498	801	804
499	803	803
500	805	801
501	806	799
502	807	798
503	809	796
504	810	794
505	811	792
506	813	790
507	815	789
508	816	787
509	817	785
510	819	783
511	821	782
512	822	781
513	824	779
514	825	777
515	826	775
516	828	773
517	829	772
518	831	770
519	833	768
520	834	767
521	835	765
522	837	763
523	838	761
524	839	759
525	841	757
526	842	756
527	843	754
528	845	752
529	847	751
530	848	749
531	849	747
532	850	745
533	852	743
534	853	741
535	854	739
536	856	738
537	857	736
538	858	734
539	860	732
540	861	731
541	863	729
542	864	727
543	901	755
544	903	754
545	906	753
546	913	756
547	914	754
548	916	752
549	917	750
550	918	748
551	920	746
552	921	745
553	923	743
554	925	741
555	930	743
556	934	743
557	937	742
558	938	740
559	939	738
560	941	736
561	942	734
562	943	732
563	944	729
564	945	727
565	946	725
566	947	723
567	948	721
568	949	719
569	950	717
570	951	714
571	952	712
572	955	712
573	956	710
574	958	708
575	959	706
576	960	704
577	961	701
578	963	700
579	964	698
580	965	696
581	967	694
582	968	692
583	970	691
584	971	689
585	973	687
586	974	685
587	975	683
588	977	682
589	978	680
590	979	677
591	980	676
592	982	674
593	983	672
594	985	670
595	986	668
596	987	666
597	988	664
598	990	662
599	991	660
600	992	658
601	993	656
602	994	654
603	995	652
604	996	650
605	997	648
606	998	646
607	1000	644
608	1001	643
609	1002	641
610	1003	638
611	1004	636
612	1005	634
613	1006	632
614	1007	630
615	1008	628
616	1009	626
617	1010	624
618	1011	622
619	1012	620
620	1013	618
621	1015	617
622	1016	615
623	1017	613
624	1018	611
625	1019	609
626	1020	607
627	1021	605
628	1022	603
629	1023	601
630	1024	599
631	1026	597
632	1027	595
633	1028	593
634	1030	592
635	1032	591
636	1033	589
637	1034	587
638	1035	585
639	1036	583
640	1037	581
641	1038	579
642	1040	577
643	1041	575
644	1042	573
645	1043	571
646	1044	569
647	1045	568
648	1046	566
649	1048	564
650	1049	562
651	1050	560
652	1051	558
653	1052	556
654	1053	554
655	1054	552
656	1055	551
657	1056	549
658	1058	547
659	1059	545
660	1060	543
661	1061	542
662	1063	540
663	1064	538
664	1065	536
665	1068	535
666	1069	533
667	1070	532
668	1071	530
669	1072	528
670	1073	526
671	1074	524
672	1075	522
673	1077	521
674	1078	519
675	1079	517
676	1080	515
677	1081	513
678	1082	511
679	1083	510
680	1084	508
681	1085	506
682	1087	504
683	1088	502
684	1089	500
685	1090	499
686	1092	497
687	1093	495
688	1094	494
689	1095	492
690	1096	490
691	1097	488
692	1099	486
693	1100	485
694	1101	483
695	1102	481
696	1103	479
697	1104	477
698	1105	476
699	1107	474
700	1109	473
701	1111	471
702	1112	469
703	1113	468
704	1114	466
705	1116	464
706	1117	462
707	1118	461
708	1119	459
709	1121	457
710	1122	456
711	1124	454
712	1125	452
713	1126	451
714	1127	449
715	1128	447
716	1130	446
717	1131	444
718	1132	442
719	1133	440
720	1135	439
721	1138	438
722	1140	437
723	1142	435
724	1144	434
725	1146	432
726	1148	431
727	1149	429
728	1153	428
729	1155	427
730	1156	425
731	1158	424
732	1159	422
733	1161	421
734	1169	421
735	1171	420
736	1172	418
737	1174	416
738	1175	415
739	1176	413
740	1178	411
741	1179	410
742	1181	408
743	1182	406
744	1184	405
745	1185	403
746	1187	402
747	1188	400
748	1189	398
749	1191	397
750	1192	395
751	1193	393
752	1195	392
753	1196	390
754	1198	388
755	1200	387
756	1201	385
757	1202	384
758	1204	382
759	1205	380
760	1207	379
761	1208	377
762	1210	375
763	1211	374
764	1213	372
765	1215	371
766	1216	369
767	1218	367
768	1219	366
769	1220	364
770	1222	362
771	1223	361
772	1224	359
773	1227	358
774	1229	356
775	1230	355
776	1231	353
777	1233	351
778	1234	350
779	1235	348
780	1237	346
781	1238	345
782	1239	343
783	1241	341
784	1242	340
785	1244	338
786	1245	337
787	1247	335
788	1248	333
789	1249	332
790	1251	330
791	1252	328
792	1254	327
793	1255	325
794	1257	324
795	1259	322
796	1260	321
797	1262	319
798	1263	317
799	1265	316
800	1266	314
801	1268	313
802	1269	311
803	1270	309
804	1272	308
805	1274	306
806	1275	305
807	1276	303
808	1278	301
809	1279	300
810	1281	298
811	1283	297
812	1285	295
813	1286	293
814	1287	292
815	1290	290
816	1291	289
817	1292	287
818	1293	285
819	1294	284
820	1295	282
821	1297	280
822	1298	279
823	1299	277
824	1300	275
825	1301	274
826	1303	272
827	1304	271
828	1306	269
829	1307	267
830	1308	266
831	1309	264
832	1310	262
833	1312	261
834	1313	259
835	1314	257
836	1315	256
837	1317	254
838	1319	253
839	1321	251
840	1322	250
841	1323	248
842	1325	246
843	1326	245
844	1327	243
845	1328	241
846	1329	240
847	1331	238
848	1332	236
849	1334	235
850	1336	234
851	1337	232
852	1340	230
853	1344	229
854	1346	228
855	1348	226
856	1350	225
857	1351	223
858	1353	222
859	1354	220
860	1357	219
861	1358	217
862	1359	215
863	1361	214
864	1362	212
865	1364	211
866	1365	209
867	1366	207
868	1367	206
869	1369	204
870	1370	202
871	1371	201
872	1372	199
873	1373	198
874	1374	196
875	1376	194
876	1377	193
877	1378	191
878	1380	190
879	1381	188
880	1382	186
881	1384	185
882	1385	183
883	1386	181
884	1387	180
885	1388	178
886	1390	177
887	1391	175
888	1392	173
889	1395	172
890	1397	171
891	1399	169
892	1400	167
893	1401	166
894	1402	164
895	1404	162
896	1405	161
897	1406	159
898	1407	158
899	1409	156
900	1410	155
901	1412	153
902	1413	151
